report,llm,example,direction,data_metric,stat,median,min,max
report_anthropic_mad_m2m,anthropic,mad,m2m,model_eval_2,SD,0.020728713610791143,0.0,0.12288017349042533
report_anthropic_mad_m2m,anthropic,mad,m2m,model_eval_2,CV_pct,2.3265225680030075,0.0,15.500883439381816
report_anthropic_mad_m2m,anthropic,mad,m2m,model_eval_2,MedianCV_pct,0.5094760725214368,0.0,9.523809523809515
report_anthropic_mad_m2m,anthropic,mad,m2m,model_eval_2,CI_width,0.029656856866735134,0.0,0.1758063614264982
report_anthropic_mad_m2m,anthropic,mad,m2m,model_eval_2,mean_median_diff_pct,0.9154388413198401,0.0,11.243243243243246
report_anthropic_mad_m2m,anthropic,mad,m2m,text_eval_1,n,10.0,10.0,10.0
report_anthropic_mad_m2m,anthropic,mad,m2m,text_eval_1,range,0.03353622277577718,0.005320250988006592,0.08211469650268555
report_anthropic_mad_m2m,anthropic,mad,m2m,text_eval_1,mean,0.8330045894384384,0.698878800868988,0.9362023174762726
report_anthropic_mad_m2m,anthropic,mad,m2m,text_eval_1,median,0.8334345271190008,0.6987253725528717,0.936103880405426
report_anthropic_mad_m2m,anthropic,mad,m2m,text_eval_1,SD,0.010796432901413152,0.0014457287054463078,0.03606256750730352
report_anthropic_mad_m2m,anthropic,mad,m2m,text_eval_1,CV_pct,1.2988124357395903,0.1672023193307091,3.9705239033716913
report_anthropic_mad_m2m,anthropic,mad,m2m,text_eval_1,MedianCV_pct,0.7839156609768929,0.06858874605559569,2.2833304698025496
report_anthropic_mad_m2m,anthropic,mad,m2m,text_eval_1,CI_width,0.015446605671749592,0.002068424027202198,0.05159521342676565
report_anthropic_mad_m2m,anthropic,mad,m2m,text_eval_1,mean_median_diff_pct,0.23666140470707656,0.008285394610099356,2.469807968006978
report_anthropic_mad_m2m,anthropic,mad,m2m,text_eval_2,n,10.0,10.0,10.0
report_anthropic_mad_m2m,anthropic,mad,m2m,text_eval_2,range,0.12929034857463234,0.007683157920837402,0.35801774534312164
report_anthropic_mad_m2m,anthropic,mad,m2m,text_eval_2,mean,0.7013078908330584,0.5190789612745628,0.8696612202458912
report_anthropic_mad_m2m,anthropic,mad,m2m,text_eval_2,median,0.7027172432692808,0.522922041018804,0.8744845804240968
report_anthropic_mad_m2m,anthropic,mad,m2m,text_eval_2,SD,0.04377943829985424,0.002330431384607115,0.12603496588908647
report_anthropic_mad_m2m,anthropic,mad,m2m,text_eval_2,CV_pct,6.299590188379104,0.3064679155444264,17.969403944553104
report_anthropic_mad_m2m,anthropic,mad,m2m,text_eval_2,MedianCV_pct,3.172134074903266,0.12439788182730784,13.024913992058885
report_anthropic_mad_m2m,anthropic,mad,m2m,text_eval_2,CI_width,0.06263584705463468,0.0033341803697388706,0.18031996648507032
report_anthropic_mad_m2m,anthropic,mad,m2m,text_eval_2,mean_median_diff_pct,1.6897085015388356,0.006956901864939751,9.185091230565767
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_1,n,10.0,10.0,10.0
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_1,range,0.013991165336762403,0.0,0.15154995612305622
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_1,mean,0.9565745767004682,0.7217603911980441,1.0
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_1,median,0.9572015833544542,0.721760391198044,1.0
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_1,SD,0.00547348120865515,0.0,0.07000665094777507
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_1,CV_pct,0.582919811602752,0.0,7.791062766768516
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_1,MedianCV_pct,0.08287483441485852,0.0,2.2222222222222205
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_1,CI_width,0.007830985164624247,0.0,0.10015948243873729
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_1,mean_median_diff_pct,0.2414184940830467,0.0,5.084745762711848
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_2,n,10.0,10.0,10.0
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_2,range,0.01742082139956481,0.0,0.1774509803921568
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_2,mean,0.9388483653729287,0.6636363636363637,1.0
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_2,median,0.9395236153610245,0.6636363636363636,1.0
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_2,SD,0.006843464279569071,0.0,0.08106287375263053
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_2,CV_pct,0.7416082279745835,0.0,9.185295671371266
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_2,MedianCV_pct,0.12007837600186304,0.0,4.347826086956518
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_2,CI_width,0.009791038866306606,0.0,0.11597777311354474
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_2,mean_median_diff_pct,0.29645456847505824,0.0,6.049723756906058
report_anthropic_mad_t2t,anthropic,mad,t2t,text_eval_1,n,10.0,10.0,10.0
report_anthropic_mad_t2t,anthropic,mad,t2t,text_eval_1,range,0.0280147659778595,0.0,0.14110267162322998
report_anthropic_mad_t2t,anthropic,mad,t2t,text_eval_1,mean,0.8364569187561672,0.7215744614601135,0.9369052767753601
report_anthropic_mad_t2t,anthropic,mad,t2t,text_eval_1,median,0.837466821273168,0.7178061902523041,0.9391568899154663
report_anthropic_mad_t2t,anthropic,mad,t2t,text_eval_1,SD,0.00948998533210834,0.0,0.06925378868371716
report_anthropic_mad_t2t,anthropic,mad,t2t,text_eval_1,CV_pct,1.1388671058401758,0.0,8.523279736330103
