report,llm,example,direction,data_metric,stat,median,min,max
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_1,median,0.985001030909907,0.721760391198044,1
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_1,SD,1.1702778228589E-16,0,0.0700066509477751
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_1,CV_pct,0,0,7.79106276676852
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_1,MedianCV_pct,0,0,2.22222222222222
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_1,CI_width,2.22044604925031E-16,0,0.100159482438737
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_1,mean_median_diff_pct,1.13303263812899E-14,0,5.08474576271185
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_2,n,10,10,10
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_2,range,0,0,0.177450980392157
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_2,mean,0.980192076830732,0.663636363636364,1
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_2,median,0.981612685560054,0.663636363636364,1
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_2,SD,1.1702778228589E-16,0,0.0810628737526305
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_2,CV_pct,1.19372981891222E-14,0,9.18529567137127
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_2,MedianCV_pct,0,0,4.34782608695652
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_2,CI_width,2.22044604925031E-16,0,0.115977773113545
report_anthropic_mad_t2t,anthropic,mad,t2t,model_eval_2,mean_median_diff_pct,1.11367092221716E-14,0,6.04972375690606
report_anthropic_mad_t2t,anthropic,mad,t2t,text_eval_1,n,10,10,10
report_anthropic_mad_t2t,anthropic,mad,t2t,text_eval_1,range,0.0236257016658783,0,0.14110267162323
report_anthropic_mad_t2t,anthropic,mad,t2t,text_eval_1,mean,0.840740388631821,0.721574461460114,0.93690527677536
report_anthropic_mad_t2t,anthropic,mad,t2t,text_eval_1,median,0.840980008244515,0.717806190252304,0.939156889915466
report_anthropic_mad_t2t,anthropic,mad,t2t,text_eval_1,SD,0.00777431567183821,0,0.0692537886837172
report_anthropic_mad_t2t,anthropic,mad,t2t,text_eval_1,CV_pct,0.926243936506007,0,8.5232797363301
report_anthropic_mad_t2t,anthropic,mad,t2t,text_eval_1,MedianCV_pct,0.457468164362077,0,3.80395713000695
report_anthropic_mad_t2t,anthropic,mad,t2t,text_eval_1,CI_width,0.0111228208100909,0,0.0990823519990602
report_anthropic_mad_t2t,anthropic,mad,t2t,text_eval_1,mean_median_diff_pct,0.185753719595598,0,6.03405771065059
report_anthropic_mad_t2t,anthropic,mad,t2t,text_eval_2,n,10,10,10
report_anthropic_mad_t2t,anthropic,mad,t2t,text_eval_2,range,0.114403129806594,0,0.364357550938924
report_anthropic_mad_t2t,anthropic,mad,t2t,text_eval_2,mean,0.713303211232026,0.533926742843219,0.889595892031988
report_anthropic_mad_t2t,anthropic,mad,t2t,text_eval_2,median,0.715391820503606,0.534044885209629,0.932350859045982
report_anthropic_mad_t2t,anthropic,mad,t2t,text_eval_2,SD,0.0372342305557588,0,0.126791997834703
report_anthropic_mad_t2t,anthropic,mad,t2t,text_eval_2,CV_pct,5.26070988618772,0,17.4090363877603
report_anthropic_mad_t2t,anthropic,mad,t2t,text_eval_2,MedianCV_pct,0.777595826582051,0,17.0353789582252
report_anthropic_mad_t2t,anthropic,mad,t2t,text_eval_2,CI_width,0.0532715279331321,0,0.181403062545745
report_anthropic_mad_t2t,anthropic,mad,t2t,text_eval_2,mean_median_diff_pct,1.02049915845307,0,10.058680754317
report_anthropic_pet_m2m,anthropic,pet,m2m,model_eval_1,n,10,10,10
report_anthropic_pet_m2m,anthropic,pet,m2m,model_eval_1,range,0.0850647547108439,0,0.264324919686733
report_anthropic_pet_m2m,anthropic,pet,m2m,model_eval_1,mean,0.928677210821799,0.662784195235443,0.99375
report_anthropic_pet_m2m,anthropic,pet,m2m,model_eval_1,median,0.932148511385475,0.642902126864758,1
report_anthropic_pet_m2m,anthropic,pet,m2m,model_eval_1,SD,0.0286935726651336,0,0.093984325000212
report_anthropic_pet_m2m,anthropic,pet,m2m,model_eval_1,CV_pct,3.0783615233702,0,12.9490215238027
report_anthropic_pet_m2m,anthropic,pet,m2m,model_eval_1,MedianCV_pct,1.49480578957625,0,8.68569885844287
report_anthropic_pet_m2m,anthropic,pet,m2m,model_eval_1,CI_width,0.0410522907259489,0,0.134464671883786
report_anthropic_pet_m2m,anthropic,pet,m2m,model_eval_1,mean_median_diff_pct,0.73628166173987,0,6.3229283284517
report_anthropic_pet_m2m,anthropic,pet,m2m,model_eval_2,n,10,10,10
report_anthropic_pet_m2m,anthropic,pet,m2m,model_eval_2,range,0.0940665293487875,0,0.278754578754579
report_anthropic_pet_m2m,anthropic,pet,m2m,model_eval_2,mean,0.930044284818712,0.66290554336824,0.996180555555555
report_anthropic_pet_m2m,anthropic,pet,m2m,model_eval_2,median,0.945170454545455,0.649699578729271,1
report_anthropic_pet_m2m,anthropic,pet,m2m,model_eval_2,SD,0.0288061826460411,1.1702778228589E-16,0.107602508413013
report_anthropic_pet_m2m,anthropic,pet,m2m,model_eval_2,CV_pct,3.22045188345873,1.23187139248305E-14,14.7131644057387
report_anthropic_pet_m2m,anthropic,pet,m2m,model_eval_2,MedianCV_pct,1.07128039969797,0,8.48528470296275
report_anthropic_pet_m2m,anthropic,pet,m2m,model_eval_2,CI_width,0.0412134033809957,2.22044604925031E-16,0.153948394986031
report_anthropic_pet_m2m,anthropic,pet,m2m,model_eval_2,mean_median_diff_pct,0.598393884074896,1.12983827241005E-14,7.3495091155526
report_anthropic_pet_m2m,anthropic,pet,m2m,text_eval_1,n,10,10,10
report_anthropic_pet_m2m,anthropic,pet,m2m,text_eval_1,range,0.0471994578838348,0.015321671962738,0.103746294975281
report_anthropic_pet_m2m,anthropic,pet,m2m,text_eval_1,mean,0.872964298725128,0.761144024133682,0.938761401176453
report_anthropic_pet_m2m,anthropic,pet,m2m,text_eval_1,median,0.873360127210617,0.758381754159927,0.941394209861755
report_anthropic_pet_m2m,anthropic,pet,m2m,text_eval_1,SD,0.0148575315021501,0.00451118943742327,0.0358341145981482
report_anthropic_pet_m2m,anthropic,pet,m2m,text_eval_1,CV_pct,1.68819133285429,0.49766987160946,4.10031041118405
report_anthropic_pet_m2m,anthropic,pet,m2m,text_eval_1,MedianCV_pct,0.924210184534009,0.154554192208267,2.87449271166903
report_anthropic_pet_m2m,anthropic,pet,m2m,text_eval_1,CI_width,0.0212568755314795,0.00645422103640536,0.0512683626942589
report_anthropic_pet_m2m,anthropic,pet,m2m,text_eval_1,mean_median_diff_pct,0.271549781468168,0.00531401292423018,1.64876257067062
report_anthropic_pet_m2m,anthropic,pet,m2m,text_eval_2,n,10,10,10
report_anthropic_pet_m2m,anthropic,pet,m2m,text_eval_2,range,0.13270078599453,0.0368712076119014,0.272388920613698
report_anthropic_pet_m2m,anthropic,pet,m2m,text_eval_2,mean,0.644752182462879,0.46903355052838,0.841667647163073
report_anthropic_pet_m2m,anthropic,pet,m2m,text_eval_2,median,0.642954986224641,0.456890736634915,0.855397173762322
report_anthropic_pet_m2m,anthropic,pet,m2m,text_eval_2,SD,0.0448225737105551,0.0108682516799103,0.0909259768440212
report_anthropic_pet_m2m,anthropic,pet,m2m,text_eval_2,CV_pct,6.71145874762618,1.59758390175066,14.6118927542813
report_anthropic_pet_m2m,anthropic,pet,m2m,text_eval_2,MedianCV_pct,3.33332291597336,0.106116141920362,11.181302960553
report_anthropic_pet_m2m,anthropic,pet,m2m,text_eval_2,CI_width,0.0641282752944494,0.0155493577901022,0.130089050934999
report_anthropic_pet_m2m,anthropic,pet,m2m,text_eval_2,mean_median_diff_pct,1.62119738827917,0.0921027587862878,7.09183315283158
report_anthropic_pet_t2t,anthropic,pet,t2t,model_eval_1,n,10,10,10
report_anthropic_pet_t2t,anthropic,pet,t2t,model_eval_1,range,0.0685058733845894,0,0.241364440367456
report_anthropic_pet_t2t,anthropic,pet,t2t,model_eval_1,mean,0.83594172536351,0.567753352917655,0.945873910488683
report_anthropic_pet_t2t,anthropic,pet,t2t,model_eval_1,median,0.837736467703961,0.579180674222996,0.949170437405732
report_anthropic_pet_t2t,anthropic,pet,t2t,model_eval_1,SD,0.0242639811612847,0,0.0834759527444769
report_anthropic_pet_t2t,anthropic,pet,t2t,model_eval_1,CV_pct,3.01331350082268,0,10.8310054772179
report_anthropic_pet_t2t,anthropic,pet,t2t,model_eval_1,MedianCV_pct,0.899146505364284,0,6.48261189732936
report_anthropic_pet_t2t,anthropic,pet,t2t,model_eval_1,CI_width,0.0347148129801342,0,0.119430198556485
report_anthropic_pet_t2t,anthropic,pet,t2t,model_eval_1,mean_median_diff_pct,0.63995458642234,0,3.39939677987828
report_anthropic_pet_t2t,anthropic,pet,t2t,model_eval_2,n,10,10,10
report_anthropic_pet_t2t,anthropic,pet,t2t,model_eval_2,range,0.0830909946971138,0,0.213027487417731
report_anthropic_pet_t2t,anthropic,pet,t2t,model_eval_2,mean,0.83781547959306,0.483553298553299,0.938062678062678
report_anthropic_pet_t2t,anthropic,pet,t2t,model_eval_2,median,0.827270021645022,0.485531135531136,0.951041666666667
report_anthropic_pet_t2t,anthropic,pet,t2t,model_eval_2,SD,0.0330327954274315,0,0.0741676329460487
report_anthropic_pet_t2t,anthropic,pet,t2t,model_eval_2,CV_pct,4.3047581848173,0,9.89374412204605
report_anthropic_pet_t2t,anthropic,pet,t2t,model_eval_2,MedianCV_pct,0.796694915859378,0,5.8287795992714
report_anthropic_pet_t2t,anthropic,pet,t2t,model_eval_2,CI_width,0.0472604766650586,0,0.106112656854907
report_anthropic_pet_t2t,anthropic,pet,t2t,model_eval_2,mean_median_diff_pct,0.605332082752189,0,5.45153320999613
report_anthropic_pet_t2t,anthropic,pet,t2t,text_eval_1,n,10,10,10
report_anthropic_pet_t2t,anthropic,pet,t2t,text_eval_1,range,0.0437414348125458,0.00615131855010986,0.129452526569366
report_anthropic_pet_t2t,anthropic,pet,t2t,text_eval_1,mean,0.874666428565979,0.80069425702095,0.966520947217941
report_anthropic_pet_t2t,anthropic,pet,t2t,text_eval_1,median,0.874538242816925,0.784257650375366,0.966139018535614
report_anthropic_pet_t2t,anthropic,pet,t2t,text_eval_1,SD,0.0146973647224178,0.00183109439190555,0.0452710963916927
report_anthropic_pet_t2t,anthropic,pet,t2t,text_eval_1,CV_pct,1.73701834977021,0.209763789649938,5.40808054966944
report_anthropic_pet_t2t,anthropic,pet,t2t,text_eval_1,MedianCV_pct,0.762294413499001,0.00546745961818634,2.96426763407781
report_anthropic_pet_t2t,anthropic,pet,t2t,text_eval_1,CI_width,0.0210277227075023,0.00261977203746766,0.064769982889322
